place,name,sort,rating,reviews
롯데마트 잠실점,롯데마트 잠실점,"슈퍼,마트",4.38/5,"['방문자리뷰 7,842, /place/11583068/review/visitor', '블로그리뷰 332, /place/11583068/review/ugc']"
코스트코코리아 양평점,코스트코코리아 양평점,"슈퍼,마트",4.37/5,"['방문자리뷰 12,693, /place/11583028/review/visitor', '블로그리뷰 1990, /place/11583028/review/ugc']"
빅마켓 영등포점,빅마켓 영등포점,"슈퍼,마트",4.37/5,"['방문자리뷰 7,891, /place/11625328/review/visitor', '블로그리뷰 549, /place/11625328/review/ugc']"
롯데마트 구로점,롯데마트 구로점,"슈퍼,마트",4.36/5,"['방문자리뷰 5,506, /place/11690758/review/visitor', '블로그리뷰 311, /place/11690758/review/ugc']"
롯데마트 서울역점,롯데마트 서울역점,"슈퍼,마트",4.3/5,"['방문자리뷰 8,506, /place/11625327/review/visitor', '블로그리뷰 429, /place/11625327/review/ugc']"
이마트 자양점,이마트 자양점,"슈퍼,마트",4.37/5,"['방문자리뷰 11,355, /place/12199762/review/visitor', '블로그리뷰 300, /place/12199762/review/ugc']"
이마트마포공덕점,이마트마포공덕점,"슈퍼,마트",4.38/5,"['방문자리뷰 7,389, /place/21019578/review/visitor', '블로그리뷰 149, /place/21019578/review/ugc']"
이마트 구로점,이마트 구로점,"슈퍼,마트",4.35/5,"['방문자리뷰 7,273, /place/11604999/review/visitor', '블로그리뷰 350, /place/11604999/review/ugc']"
신발원,신발원,만두,4.44/5,"['방문자리뷰 1,172, /restaurant/11833745/review/visitor', '블로그리뷰 1646, /restaurant/11833745/review/ugc']"
본전돼지국밥,본전돼지국밥,국밥,4.34/5,"['방문자리뷰 1,055, /restaurant/13485911/review/visitor', '블로그리뷰 2358, /restaurant/13485911/review/ugc']"
해운대암소갈비집,해운대암소갈비집,"육류,고기요리",4.29/5,"['방문자리뷰 786, /restaurant/11672261/review/visitor', '블로그리뷰 1713, /restaurant/11672261/review/ugc']"
수민이네,수민이네,조개요리,4.26/5,"['방문자리뷰 416, /restaurant/13325088/review/visitor', '블로그리뷰 1097, /restaurant/13325088/review/ugc']"
18번완당집,18번완당집,종합분식,4.35/5,"['방문자리뷰 374, /restaurant/11576166/review/visitor', '블로그리뷰 953, /restaurant/11576166/review/ugc']"
